,ask,size
2018-10-01 00:15:40.158000+00:00,26601.0,12.0
2018-10-01 00:15:44.366000+00:00,26600.0,12.0
2018-10-01 00:16:01.200000+00:00,26601.0,12.0
2018-10-01 00:16:04.710000+00:00,26603.0,22.0
2018-10-01 00:16:05.061000+00:00,26602.0,10.0
2018-10-01 00:16:06.814000+00:00,26601.0,5.0
2018-10-01 00:16:26.089000+00:00,26602.0,5.0
2018-10-01 00:16:28.548000+00:00,26603.0,5.0
2018-10-01 00:16:29.249000+00:00,26602.0,5.0
2018-10-01 00:16:33.803000+00:00,26603.0,5.0
2018-10-01 00:16:40.464000+00:00,26602.0,10.0
2018-10-01 00:16:55.899000+00:00,26601.0,10.0
2018-10-01 00:17:00.804000+00:00,26602.0,10.0
2018-10-01 00:17:03.258000+00:00,26603.0,10.0
2018-10-01 00:17:07.116000+00:00,26602.0,5.0
2018-10-01 00:17:09.924000+00:00,26603.0,10.0
2018-10-01 00:17:13.427000+00:00,26602.0,5.0
2018-10-01 00:17:16.583000+00:00,26603.0,10.0
2018-10-01 00:17:20.088000+00:00,26604.0,12.0
2018-10-01 00:17:21.844000+00:00,26605.0,12.0
2018-10-01 00:17:22.895000+00:00,26604.0,12.0
2018-10-01 00:17:41.819000+00:00,26605.0,12.0
2018-10-01 00:17:48.125000+00:00,26604.0,5.0
2018-10-01 00:17:48.475000+00:00,26606.0,12.0
2018-10-01 00:17:49.176000+00:00,26605.0,12.0
2018-10-01 00:17:51.629000+00:00,26604.0,12.0
2018-10-01 00:17:57.938000+00:00,26605.0,12.0
2018-10-01 00:18:06.001000+00:00,26602.0,12.0
2018-10-01 00:18:09.508000+00:00,26603.0,12.0
2018-10-01 00:18:09.858000+00:00,26602.0,12.0
2018-10-01 00:18:17.567000+00:00,26603.0,12.0
2018-10-01 00:18:33.342000+00:00,26602.0,12.0
2018-10-01 00:18:43.154000+00:00,26601.0,12.0
2018-10-01 00:18:46.309000+00:00,26602.0,12.0
2018-10-01 00:18:51.615000+00:00,26603.0,12.0
2018-10-01 00:18:51.966000+00:00,26601.0,12.0
2018-10-01 00:18:59.324000+00:00,26600.0,12.0
2018-10-01 00:19:00.375000+00:00,26601.0,12.0
